82356,TX00,2017/12/21,08:30:05,10493,10493,10493,10493,9,10497,E
82357,TX00,2017/12/21,08:35:00,10491,10508,10491,10500,2528,10497,R
82358,TX00,2017/12/21,08:40:00,10500,10500,10486,10486,5418,10495,G
82359,TX00,2017/12/21,08:50:00,10485,10500,10477,10481,18735,10491,G
82360,TX00,2017/12/21,08:55:00,10481,10483,10475,10478,2416,10488,G
82361,TX00,2017/12/21,09:00:00,10478,10495,10477,10494,3606,10488,R
82362,TX00,2017/12/21,09:05:00,10495,10507,10489,10490,5465,10486,G
82363,TX00,2017/12/21,09:10:00,10490,10495,10486,10491,2990,10487,R
82364,TX00,2017/12/21,09:15:00,10490,10500,10485,10495,3833,10490,R
82365,TX00,2017/12/21,09:20:00,10495,10500,10489,10489,4091,10492,G
82366,TX00,2017/12/21,09:25:02,10489,10500,10488,10496,2489,10492,R
82367,TX00,2017/12/21,09:30:00,10495,10498,10492,10494,1359,10493,G
82368,TX00,2017/12/21,09:35:00,10494,10525,10493,10518,8284,10498,R
82369,TX00,2017/12/21,09:40:00,10520,10537,10518,10530,8231,10505,R
82370,TX00,2017/12/21,09:45:00,10530,10539,10523,10529,5160,10513,G
82371,TX00,2017/12/21,09:50:00,10529,10533,10526,10529,1832,10520,E
82372,TX00,2017/12/21,09:55:00,10528,10534,10518,10530,4026,10527,R
82373,TX00,2017/12/21,10:00:00,10530,10530,10522,10523,2160,10528,G
82374,TX00,2017/12/21,10:05:00,10522,10529,10519,10526,2129,10527,R
82375,TX00,2017/12/21,10:10:00,10526,10529,10512,10512,3082,10524,G
82376,TX00,2017/12/21,10:15:00,10512,10516,10510,10515,2444,10521,R
82377,TX00,2017/12/21,10:20:00,10515,10520,10512,10513,1477,10518,G
82378,TX00,2017/12/21,10:25:01,10513,10520,10511,10518,1182,10517,R
82379,TX00,2017/12/21,10:30:02,10518,10519,10515,10518,648,10515,E
82380,TX00,2017/12/21,10:35:00,10518,10518,10496,10505,5963,10514,G
82381,TX00,2017/12/21,10:40:00,10504,10506,10500,10503,1171,10511,G
82382,TX00,2017/12/21,10:45:00,10503,10504,10491,10495,3087,10508,G
82383,TX00,2017/12/21,10:50:00,10496,10503,10494,10502,1483,10505,R
82384,TX00,2017/12/21,10:55:00,10501,10509,10499,10508,1990,10503,R
82385,TX00,2017/12/21,11:00:00,10508,10508,10502,10502,900,10502,G
82386,TX00,2017/12/21,11:05:00,10503,10512,10503,10511,1255,10504,R
82387,TX00,2017/12/21,11:10:01,10510,10512,10505,10511,799,10507,R
82388,TX00,2017/12/21,11:15:00,10511,10512,10508,10509,662,10508,G
82389,TX00,2017/12/21,11:20:04,10509,10514,10507,10508,866,10508,G
82390,TX00,2017/12/21,11:25:00,10509,10512,10507,10511,437,10510,R
82391,TX00,2017/12/21,11:30:03,10511,10512,10507,10508,292,10509,G
82392,TX00,2017/12/21,11:35:01,10508,10515,10508,10514,1087,10510,R
